symbol,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,test,volatility,10,ELASTICNET,259,0.007092958635540948,0.010438383038020681,0.07161364137276371,alpha=1e-3 l1=0.2
AAPL,test,volatility,10,HGB,259,0.007154949053228296,0.010668211160509566,0.030281907781536832,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,test,volatility,10,RIDGE,259,0.007509302906209759,0.01082826083359427,0.0009672875376613987,alpha=5.0
AAPL,test,volatility,10,BASELINE_MEAN_TRAIN,259,0.00678391427184907,0.010833582452362451,-1.491592445734824e-05,mean=0.0158009
AAPL,test,volatility,10,BASELINE_ZERO,259,0.015759022584740323,0.019123586247736715,-2.116025259581027,
AAPL,val,volatility,10,ELASTICNET,502,0.004282957749326589,0.005286430622271047,-0.7335200854616719,alpha=1e-3 l1=0.2
AAPL,val,volatility,10,HGB,502,0.004432346897812349,0.0054992878331930305,-0.8759303360849511,lr=0.03 depth=3 l2=1.0 leaf=30
AAPL,val,volatility,10,BASELINE_MEAN_TRAIN,502,0.00471533338802881,0.005525993039488168,-0.8941940629331,mean=0.0158009
AAPL,val,volatility,10,RIDGE,502,0.004592899473799505,0.005582342748808683,-0.9330220148720956,alpha=5.0
AAPL,val,volatility,10,BASELINE_ZERO,502,0.012004095428378889,0.012657782729565496,-8.938459618633553,
TSLA,test,volatility,10,ELASTICNET,259,0.00939639166543483,0.012239001692217201,0.2883992928782514,alpha=1e-3 l1=0.2
TSLA,test,volatility,10,RIDGE,259,0.009621404967555067,0.01263628097040301,0.2414522416821906,alpha=5.0
TSLA,test,volatility,10,HGB,259,0.012159924572154378,0.015011002769000576,-0.07044360371828917,lr=0.03 depth=3 l2=1.0 leaf=30
TSLA,test,volatility,10,BASELINE_MEAN_TRAIN,259,0.009931751389188006,0.015042809537787966,-0.07498472920393295,mean=0.0302975
TSLA,test,volatility,10,BASELINE_ZERO,259,0.03427047704421272,0.03721514882746983,-5.579363808643008,
TSLA,val,volatility,10,ELASTICNET,502,0.00888392135107677,0.011405333430679222,-0.020028555948814697,alpha=1e-3 l1=0.2
TSLA,val,volatility,10,BASELINE_MEAN_TRAIN,502,0.008617033011152107,0.011464658743700435,-0.030667595221252064,mean=0.0302975
TSLA,val,volatility,10,RIDGE,502,0.009035937268107927,0.011731013356652746,-0.07911422172812799,alpha=5.0
TSLA,val,volatility,10,HGB,502,0.009625929287651836,0.01222676644642139,-0.17224824326341226,lr=0.03 depth=3 l2=1.0 leaf=30
TSLA,val,volatility,10,BASELINE_ZERO,502,0.03227513146885274,0.0341937355596864,-8.168313499798943,
^GSPC,test,volatility,10,ELASTICNET,259,0.004077541952420436,0.006313346417322779,0.1327435172593846,alpha=1e-3 l1=0.2
^GSPC,test,volatility,10,RIDGE,259,0.004383196443494059,0.006612731114150282,0.048541078758492895,alpha=5.0
^GSPC,test,volatility,10,BASELINE_MEAN_TRAIN,259,0.003977303897328066,0.006781028942229144,-0.0005055702577141385,mean=0.00902451
^GSPC,test,volatility,10,HGB,259,0.0052414653814014285,0.007467661580893464,-0.21338206587648445,lr=0.03 depth=3 l2=1.0 leaf=30
^GSPC,test,volatility,10,BASELINE_ZERO,259,0.008872072917321137,0.011165697282413898,-1.712689045339339,
^GSPC,val,volatility,10,ELASTICNET,502,0.002226695978938233,0.0027806197508525145,-0.3220076371551439,alpha=1e-3 l1=0.2
^GSPC,val,volatility,10,RIDGE,502,0.002210031266723851,0.0027888466967802405,-0.3298419875629932,alpha=5.0
^GSPC,val,volatility,10,BASELINE_MEAN_TRAIN,502,0.00248295066913462,0.00296016938116576,-0.4982486044136467,mean=0.00902451
^GSPC,val,volatility,10,HGB,502,0.002855750867144507,0.003566132122154204,-1.1744309264530508,lr=0.03 depth=3 l2=1.0 leaf=30
^GSPC,val,volatility,10,BASELINE_ZERO,502,0.0073174494761035795,0.007706726333416375,-9.155250307357193,
^IXIC,test,volatility,10,ELASTICNET,259,0.005168923832881628,0.007505799029218068,0.1644526010848606,alpha=1e-3 l1=0.2
^IXIC,test,volatility,10,RIDGE,259,0.005402594704530503,0.00784892936573669,0.08631168778927467,alpha=5.0
^IXIC,test,volatility,10,BASELINE_MEAN_TRAIN,259,0.004973874919415478,0.008234291190733751,-0.005610200170848456,mean=0.0112204
^IXIC,test,volatility,10,HGB,259,0.0067190836943522465,0.008858101264853244,-0.163746826002108,lr=0.03 depth=3 l2=1.0 leaf=30
^IXIC,test,volatility,10,BASELINE_ZERO,259,0.011835415011257015,0.01440494118604488,-2.0775152013850224,
^IXIC,val,volatility,10,BASELINE_MEAN_TRAIN,502,0.0026111298761498794,0.0032272843589676702,-0.11044283775196395,mean=0.0112204
^IXIC,val,volatility,10,ELASTICNET,502,0.002750904578903953,0.0034712543166232745,-0.2846789455559344,alpha=1e-3 l1=0.2
^IXIC,val,volatility,10,RIDGE,502,0.0027335983788352586,0.003505848721179902,-0.3104126754077636,alpha=5.0
^IXIC,val,volatility,10,HGB,502,0.0036420908615153054,0.00453825565334472,-1.1958347596647916,lr=0.03 depth=3 l2=1.0 leaf=30
^IXIC,val,volatility,10,BASELINE_ZERO,502,0.010202589608675509,0.010652337953132364,-11.09794521601208,
