symbol,n_estimators,rmse,mae,r2,time
AAPL,100,0.00826 ± 0.00258,0.00671,-1.201,0.05s
AAPL,250,0.00825 ± 0.00269,0.00669,-1.212,0.11s
AAPL,500,0.00823 ± 0.00264,0.00668,-1.180,0.22s
AAPL,1000,0.00822 ± 0.00267,0.00667,-1.177,0.42s
TSLA,100,0.01690 ± 0.00516,0.01358,-0.358,0.05s
TSLA,250,0.01695 ± 0.00528,0.01367,-0.375,0.11s
TSLA,500,0.01699 ± 0.00539,0.01371,-0.380,0.22s
TSLA,1000,0.01704 ± 0.00552,0.01376,-0.388,0.43s
^GSPC,100,0.00429 ± 0.00183,0.00329,-0.234,0.05s
^GSPC,250,0.00431 ± 0.00187,0.00333,-0.254,0.12s
^GSPC,500,0.00430 ± 0.00183,0.00331,-0.244,0.23s
^GSPC,1000,0.00430 ± 0.00183,0.00332,-0.250,0.46s
^IXIC,100,0.00547 ± 0.00181,0.00433,-0.289,0.05s
^IXIC,250,0.00549 ± 0.00184,0.00437,-0.316,0.11s
^IXIC,500,0.00545 ± 0.00177,0.00433,-0.289,0.22s
^IXIC,1000,0.00545 ± 0.00175,0.00433,-0.291,0.45s
