symbol,policy,sharpe,max_drawdown,total_return,coverage,n_changes
AAPL,UNGATED,0.63,-0.295,0.382,1.0,42
AAPL,RACC@0.3,0.16,-0.32,0.029,0.6,94
AAPL,RACC@0.45,0.72,-0.248,0.436,0.84,56
AAPL,BUY&HOLD,0.92,-0.334,0.663,1.0,1
TSLA,UNGATED,-0.04,-0.69,-0.384,1.0,66
TSLA,RACC@0.3,0.38,-0.363,0.184,0.22,63
TSLA,RACC@0.45,0.07,-0.527,-0.227,0.82,98
TSLA,BUY&HOLD,0.67,-0.538,0.714,1.0,1
MSFT,UNGATED,0.11,-0.427,-0.004,1.0,44
MSFT,RACC@0.3,0.54,-0.186,0.221,0.61,104
MSFT,RACC@0.45,0.22,-0.384,0.058,0.82,42
MSFT,BUY&HOLD,0.34,-0.342,0.135,1.0,1
GLD,UNGATED,-0.84,-0.449,-0.384,1.0,40
GLD,RACC@0.3,-1.33,-0.422,-0.39,0.52,115
GLD,RACC@0.45,-0.68,-0.342,-0.311,0.88,72
GLD,BUY&HOLD,1.64,-0.192,1.187,1.0,1
S&P 500,UNGATED,0.05,-0.204,-0.01,1.0,33
S&P 500,RACC@0.3,-1.0,-0.269,-0.267,0.52,166
S&P 500,RACC@0.45,-0.14,-0.231,-0.065,0.81,109
S&P 500,BUY&HOLD,1.3,-0.189,0.575,1.0,1
NASDAQ,UNGATED,0.65,-0.234,0.316,1.0,83
NASDAQ,RACC@0.3,0.88,-0.084,0.289,0.29,97
NASDAQ,RACC@0.45,0.9,-0.232,0.444,0.8,130
NASDAQ,BUY&HOLD,1.27,-0.243,0.783,1.0,1
Dow Jones,UNGATED,0.1,-0.171,0.009,1.0,25
Dow Jones,RACC@0.3,-0.33,-0.194,-0.097,0.52,115
Dow Jones,RACC@0.45,-0.14,-0.186,-0.061,0.81,119
Dow Jones,BUY&HOLD,0.9,-0.164,0.325,1.0,1
Russell 2k,UNGATED,0.88,-0.219,0.484,1.0,46
Russell 2k,RACC@0.3,0.85,-0.177,0.323,0.44,104
Russell 2k,RACC@0.45,0.73,-0.215,0.345,0.86,55
Russell 2k,BUY&HOLD,0.76,-0.279,0.399,1.0,1
