alpha,threshold,coverage,realized_risk,guarantee_holds,acc_acted
0.05,0.1953,0.034,0.0314,True,0.512
0.1,0.0714,0.049,0.0425,True,0.521
0.15,0.0714,0.049,0.0425,True,0.521
0.2,0.0714,0.049,0.0425,True,0.521
0.25,0.0714,0.049,0.0425,True,0.521
0.3,0.0525,0.12,0.0893,True,0.55
0.35,0.0525,0.12,0.0893,True,0.55
0.4,0.0525,0.12,0.0893,True,0.55
0.45,0.0525,0.12,0.0893,True,0.55
0.5,0.0525,0.12,0.0893,True,0.55
0.55,0.0525,0.12,0.0893,True,0.55
0.6,0.0468,0.484,0.3442,True,0.58
0.65,0.0373,0.582,0.4077,True,0.584
0.7,0.0,1.0,0.8065,False,0.53
0.75,0.0,1.0,0.8065,False,0.53
0.8,0.0,1.0,0.8065,False,0.53
